,CH2(Unit:V),CH3(Unit:V)
Frequency:,57.000 kHz,57.000 kHz
Period:,17.544 uS,17.544 uS
PK-PK:,256mV,5.00V
288,-0.084,-2.040
289,-0.088,-2.160
290,-0.080,-2.120
291,-0.088,-2.200
292,-0.076,-2.160
293,-0.084,-2.240
294,-0.072,-2.200
295,-0.080,-2.280
296,-0.068,-2.240
297,-0.076,-2.320
298,-0.068,-2.280
299,-0.072,-2.360
300,-0.060,-2.320
301,-0.076,-2.400
302,-0.056,-2.360
303,-0.064,-2.440
304,-0.052,-2.400
305,-0.064,-2.440
306,-0.052,-2.440
307,-0.060,-2.480
308,-0.048,-2.440
309,-0.060,-2.520
310,-0.044,-2.480
311,-0.052,-2.520
312,-0.040,-2.520
313,-0.044,-2.520
314,-0.036,-2.520
315,-0.044,-2.560
316,-0.032,-2.520
317,-0.044,-2.560
318,-0.028,-2.560
319,-0.036,-2.560
320,-0.024,-2.560
321,-0.032,-2.560
322,-0.020,-2.560
323,-0.028,-2.560
324,-0.016,-2.560
325,-0.024,-2.560
326,-0.012,-2.560
327,-0.016,-2.560
328,-0.008,-2.560
329,-0.012,-2.560
330,-0.004,-2.520
331,-0.012,-2.520
332,0.004,-2.520
333,-0.004,-2.520
334,0.008,-2.480
335,-0.004,-2.520
336,0.012,-2.480
337,0.004,-2.480
338,0.012,-2.440
339,0.008,-2.480
340,0.020,-2.440
341,0.012,-2.440
342,0.020,-2.400
343,0.012,-2.400
344,0.024,-2.360
345,0.024,-2.360
346,0.028,-2.320
347,0.024,-2.320
348,0.036,-2.320
349,0.024,-2.280
350,0.040,-2.240
351,0.028,-2.280
352,0.040,-2.200
353,0.036,-2.200
354,0.048,-2.160
355,0.040,-2.160
356,0.052,-2.120
357,0.044,-2.120
358,0.056,-2.080
359,0.044,-2.040
360,0.056,-2.000
361,0.048,-2.000
362,0.060,-1.960
363,0.052,-1.960
364,0.068,-1.880
365,0.060,-1.880
366,0.068,-1.840
367,0.064,-1.840
368,0.072,-1.760
369,0.064,-1.760
370,0.072,-1.720
371,0.068,-1.680
372,0.080,-1.640
373,0.068,-1.640
374,0.084,-1.560
375,0.076,-1.560
376,0.084,-1.480
377,0.080,-1.480
378,0.088,-1.400
379,0.080,-1.400
380,0.092,-1.360
381,0.084,-1.320
382,0.096,-1.240
383,0.088,-1.240
384,0.096,-1.200
385,0.088,-1.160
386,0.100,-1.080
387,0.092,-1.080
388,0.100,-1.040
389,0.092,-1.000
390,0.108,-0.920
391,0.096,-0.920
392,0.108,-0.840
393,0.096,-0.840
394,0.108,-0.760
395,0.100,-0.760
396,0.112,-0.680
397,0.100,-0.680
398,0.112,-0.600
399,0.104,-0.600
400,0.116,-0.520
401,0.108,-0.480
402,0.112,-0.400
403,0.104,-0.400
404,0.120,-0.320
405,0.108,-0.320
406,0.120,-0.240
407,0.108,-0.240
408,0.120,-0.160
409,0.108,-0.160
410,0.120,-0.080
411,0.112,-0.040
412,0.124,0.040
413,0.108,0.040
414,0.124,0.120
415,0.112,0.120
416,0.124,0.200
417,0.116,0.200
418,0.124,0.320
419,0.112,0.320
420,0.124,0.400
421,0.112,0.400
422,0.128,0.480
423,0.112,0.480
424,0.124,0.560
425,0.116,0.560
426,0.120,0.640
427,0.116,0.640
428,0.120,0.720
429,0.108,0.760
430,0.124,0.800
431,0.112,0.840
432,0.124,0.880
433,0.112,0.920
434,0.124,1.000
435,0.108,1.000
436,0.120,1.040
437,0.108,1.080
438,0.120,1.120
439,0.104,1.160
440,0.120,1.200
441,0.108,1.240
442,0.116,1.280
443,0.104,1.320
444,0.116,1.360
445,0.096,1.360
446,0.112,1.440
447,0.104,1.440
448,0.108,1.520
449,0.100,1.520
450,0.112,1.560
451,0.100,1.600
452,0.108,1.640
453,0.092,1.640
454,0.108,1.720
455,0.092,1.720
456,0.100,1.760
457,0.092,1.760
458,0.100,1.840
459,0.084,1.840
460,0.096,1.880
461,0.080,1.880
462,0.096,1.960
463,0.080,1.960
464,0.092,2.000
465,0.080,2.000
466,0.088,2.040
467,0.076,2.040
468,0.088,2.080
469,0.072,2.080
470,0.084,2.160
471,0.068,2.120
472,0.080,2.160
473,0.068,2.160
474,0.076,2.200
475,0.060,2.200
476,0.072,2.240
477,0.060,2.240
478,0.068,2.280
479,0.052,2.280
480,0.068,2.320
481,0.052,2.320
482,0.060,2.320
483,0.048,2.320
484,0.056,2.360
485,0.048,2.360
486,0.056,2.400
487,0.040,2.400
488,0.052,2.400
489,0.032,2.400
490,0.044,2.400
491,0.032,2.400
492,0.044,2.440
493,0.028,2.400
494,0.040,2.440
495,0.024,2.440
496,0.036,2.440
497,0.020,2.440
498,0.028,2.440
499,0.016,2.440
500,0.028,2.440
501,0.012,2.440
502,0.024,2.440
503,0.008,2.400
504,0.020,2.440
505,0.000,2.400
506,0.012,2.400
507,-0.008,2.400
508,0.016,2.400
509,-0.004,2.360
510,0.008,2.400
511,-0.016,2.360
512,0.008,2.360
513,-0.016,2.320
514,0.000,2.360
515,-0.020,2.280
516,-0.004,2.320
517,-0.028,2.280
518,-0.004,2.320
519,-0.028,2.240
520,-0.008,2.280
521,-0.032,2.200
522,-0.020,2.240
523,-0.040,2.160
524,-0.024,2.200
525,-0.040,2.120
526,-0.028,2.160
527,-0.044,2.080
528,-0.032,2.120
529,-0.044,2.040
530,-0.032,2.080
531,-0.052,1.960
532,-0.044,2.040
533,-0.056,1.920
534,-0.044,1.960
535,-0.060,1.880
536,-0.048,1.920
537,-0.060,1.800
538,-0.052,1.880
539,-0.064,1.760
540,-0.056,1.800
541,-0.072,1.680
542,-0.060,1.760
543,-0.076,1.640
544,-0.064,1.680
545,-0.072,1.560
546,-0.064,1.600
547,-0.084,1.480
548,-0.068,1.560
549,-0.084,1.400
550,-0.072,1.480
551,-0.088,1.320
552,-0.072,1.400
553,-0.088,1.280
554,-0.080,1.320
555,-0.092,1.200
556,-0.080,1.280
557,-0.096,1.120
558,-0.088,1.200
559,-0.100,1.040
560,-0.084,1.120
561,-0.100,0.960
562,-0.092,1.040
563,-0.104,0.880
564,-0.092,0.960
565,-0.108,0.800
566,-0.096,0.880
567,-0.112,0.720
568,-0.096,0.760
569,-0.108,0.600
570,-0.100,0.720
571,-0.108,0.520
572,-0.100,0.600
573,-0.116,0.440
574,-0.100,0.520
575,-0.116,0.360
576,-0.104,0.440
577,-0.116,0.280
578,-0.104,0.360
579,-0.116,0.200
580,-0.104,0.280
581,-0.124,0.080
582,-0.104,0.160
583,-0.120,0.000
584,-0.104,0.080
585,-0.120,-0.080
586,-0.108,0.000
587,-0.120,-0.160
588,-0.112,-0.080
589,-0.120,-0.280
590,-0.112,-0.200
591,-0.124,-0.360
592,-0.112,-0.280
593,-0.124,-0.440
594,-0.112,-0.360
595,-0.124,-0.520
596,-0.116,-0.440
597,-0.124,-0.600
598,-0.112,-0.520
599,-0.124,-0.720
600,-0.112,-0.640
601,-0.124,-0.800
602,-0.116,-0.720
603,-0.120,-0.880
604,-0.112,-0.800
605,-0.124,-0.960
606,-0.112,-0.880
607,-0.120,-1.040
608,-0.112,-0.960
609,-0.124,-1.120
610,-0.112,-1.040
611,-0.120,-1.200
612,-0.108,-1.120
613,-0.120,-1.280
614,-0.104,-1.200
615,-0.116,-1.360
616,-0.104,-1.280
617,-0.112,-1.440
618,-0.104,-1.360
619,-0.116,-1.520
620,-0.104,-1.440
621,-0.112,-1.600
622,-0.104,-1.520
623,-0.112,-1.640
624,-0.100,-1.600
625,-0.108,-1.720
626,-0.100,-1.640
627,-0.108,-1.800
628,-0.096,-1.720
629,-0.104,-1.840
630,-0.088,-1.800
631,-0.104,-1.920
632,-0.088,-1.840
633,-0.100,-1.960
634,-0.088,-1.920
635,-0.096,-2.040
636,-0.088,-1.960
637,-0.096,-2.080
638,-0.084,-2.040
639,-0.092,-2.120
640,-0.076,-2.080
641,-0.088,-2.200
642,-0.080,-2.120
643,-0.084,-2.240
644,-0.072,-2.200
645,-0.084,-2.280
646,-0.072,-2.240
647,-0.076,-2.320
648,-0.068,-2.280
649,-0.076,-2.360
650,-0.064,-2.320
651,-0.072,-2.400
652,-0.064,-2.360
653,-0.068,-2.400
654,-0.056,-2.400
655,-0.064,-2.440
656,-0.052,-2.400
657,-0.060,-2.480
658,-0.048,-2.440
659,-0.056,-2.480
660,-0.044,-2.480
661,-0.056,-2.520
662,-0.040,-2.480
663,-0.052,-2.520
664,-0.040,-2.520
665,-0.044,-2.560
666,-0.032,-2.520
667,-0.040,-2.560
668,-0.032,-2.520
669,-0.036,-2.560
670,-0.024,-2.560
671,-0.036,-2.560
672,-0.020,-2.560
673,-0.028,-2.560
674,-0.020,-2.560
675,-0.024,-2.560
676,-0.012,-2.560
677,-0.020,-2.560
678,-0.012,-2.560
679,-0.020,-2.560
680,-0.004,-2.520
681,-0.012,-2.560
682,0.000,-2.520
683,-0.008,-2.520
684,0.004,-2.520
685,-0.004,-2.520
686,0.008,-2.480
687,-0.004,-2.480
688,0.016,-2.480
689,0.000,-2.480
690,0.016,-2.440
691,0.008,-2.440
692,0.024,-2.400
693,0.012,-2.400
694,0.028,-2.400
695,0.016,-2.360
696,0.028,-2.360
697,0.020,-2.360
698,0.032,-2.320
699,0.028,-2.320
700,0.036,-2.280
701,0.032,-2.280
702,0.044,-2.240
703,0.028,-2.240
704,0.044,-2.200
705,0.040,-2.200
706,0.048,-2.120
707,0.044,-2.120
708,0.052,-2.080
709,0.048,-2.080
710,0.056,-2.040
711,0.048,-2.040
712,0.060,-2.000
713,0.052,-1.960
714,0.064,-1.920
715,0.056,-1.920
716,0.068,-1.840
717,0.060,-1.840
718,0.072,-1.800
719,0.060,-1.800
720,0.076,-1.720
721,0.068,-1.720
722,0.076,-1.640
723,0.068,-1.640
724,0.084,-1.600
725,0.072,-1.600
726,0.088,-1.520
727,0.080,-1.520
728,0.088,-1.440
729,0.076,-1.440
730,0.092,-1.360
731,0.084,-1.360
732,0.092,-1.280
733,0.084,-1.280
734,0.100,-1.200
735,0.092,-1.200
736,0.100,-1.120
737,0.088,-1.120
738,0.100,-1.040
739,0.092,-1.040
740,0.104,-0.960
741,0.096,-0.960
742,0.108,-0.880
743,0.096,-0.880
744,0.112,-0.800
745,0.100,-0.800
746,0.112,-0.720
747,0.100,-0.720
748,0.112,-0.640
749,0.100,-0.640
750,0.116,-0.520
751,0.100,-0.520
752,0.120,-0.440
753,0.108,-0.440
754,0.116,-0.360
755,0.108,-0.360
756,0.116,-0.280
757,0.112,-0.280
758,0.120,-0.200
759,0.108,-0.200
760,0.124,-0.120
761,0.112,-0.080
762,0.120,0.000
763,0.112,0.000
764,0.124,0.080
765,0.112,0.080
766,0.124,0.160
767,0.112,0.160
768,0.124,0.240
769,0.116,0.280
770,0.124,0.360
771,0.112,0.360
772,0.124,0.440
773,0.108,0.440
774,0.124,0.520
775,0.112,0.520
776,0.124,0.600
777,0.112,0.600
778,0.124,0.680
779,0.112,0.720
780,0.124,0.800
781,0.108,0.800
782,0.124,0.880
783,0.112,0.880
784,0.124,0.960
785,0.112,0.960
786,0.120,1.040
787,0.112,1.040
788,0.120,1.120
789,0.104,1.120
790,0.120,1.200
791,0.104,1.200
792,0.116,1.240
793,0.108,1.280
794,0.116,1.320
795,0.104,1.360
796,0.112,1.400
797,0.100,1.400
798,0.116,1.480
799,0.096,1.480
800,0.112,1.560
801,0.096,1.560
802,0.108,1.640
803,0.096,1.600
804,0.108,1.680
805,0.092,1.680
806,0.104,1.760
807,0.092,1.760
808,0.100,1.800
809,0.088,1.800
810,0.100,1.840
811,0.088,1.880
812,0.100,1.920
813,0.084,1.920
814,0.096,1.960
815,0.080,1.960
816,0.088,2.040
